
Standard & Poors 500 Index,Last: 4136.48,Change:  -43.28
"Date: February 3, 2023 at 11:24 PM EST",Bid: 4095.1599,Ask: 4182.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Feb 03 2023,SPXW230203C01000000,2997.1,0,3122.3,3146.3,0,0,0,0,5,1000.00,SPXW230203P01000000,0,0,0,0.05,0,0,0,0,0
Fri Feb 03 2023,SPXW230203C01200000,2613.83,0,2922.3,2946.3,0,0,0,0,1,1200.00,SPXW230203P01200000,0.1,0,0,0.05,0,0,0,0,4
Fri Feb 03 2023,SPXW230203C01400000,0,0,2722.6,2746.6,0,0,0,0,0,1400.00,SPXW230203P01400000,0.1,0,0,0.05,0,0,0,0,4
Fri Feb 03 2023,SPXW230203C01600000,0,0,2522.6,2546.6,0,0,0,0,0,1600.00,SPXW230203P01600000,0.05,0,0,0.05,0,0,0,0,224
Fri Feb 03 2023,SPXW230203C01800000,0,0,2322.6,2346.6,0,0,0,0,0,1800.00,SPXW230203P01800000,0.05,0,0,0.05,0,0,0,0,89
Fri Feb 03 2023,SPXW230203C02000000,0,0,2122.6,2146.6,0,0,0,0,0,2000.00,SPXW230203P02000000,0.05,0,0,0.05,0,0,0,0,123
Fri Feb 03 2023,SPXW230203C02200000,0,0,1922.6,1946.6,0,0,0,0,0,2200.00,SPXW230203P02200000,0.05,0,0,0.05,0,0,0,0,319
Fri Feb 03 2023,SPXW230203C02400000,1777.5,0,1722.6,1746.6,0,0,0,0,5,2400.00,SPXW230203P02400000,0.05,0,0,0.05,0,0,0,0,884
Fri Feb 03 2023,SPXW230203C02500000,0,0,1622.6,1646.6,0,0,0,0,0,2500.00,SPXW230203P02500000,0.05,0,0,0.05,0,0,0,0,798
Fri Feb 03 2023,SPXW230203C02600000,1590,0,1522.6,1546.6,0,0,0,0,5,2600.00,SPXW230203P02600000,0.05,0,0,0.05,0,0,0,0,1643
Fri Feb 03 2023,SPXW230203C02700000,0,0,1422.6,1446.6,0,0,0,0,0,2700.00,SPXW230203P02700000,0.05,0,0,0.05,0,0,0,0,1369
Fri Feb 03 2023,SPXW230203C02800000,1274.46,0,1322.6,1346.6,0,0,0,0,1,2800.00,SPXW230203P02800000,0.05,0,0,0.05,0,0,0,0,2558
Fri Feb 03 2023,SPXW230203C02900000,0,0,1222.6,1246.6,0,0,0,0,0,2900.00,SPXW230203P02900000,0.05,0,0,0.05,0,0,0,0,2390
Fri Feb 03 2023,SPXW230203C02950000,0,0,1172.6,1196.6,0,0,0,0,0,2950.00,SPXW230203P02950000,0.05,0,0,0.05,0,0,0,0,546
Fri Feb 03 2023,SPXW230203C03000000,1010.01,0,1122.6,1146.6,0,0,0,0,0,3000.00,SPXW230203P03000000,0.05,0,0,0.05,0,0,0,0,1902
Fri Feb 03 2023,SPXW230203C03050000,0,0,1072.6,1096.6,0,0,0,0,0,3050.00,SPXW230203P03050000,0.05,0,0,0.05,0,0,0,0,931
Fri Feb 03 2023,SPXW230203C03100000,0,0,1022.6,1046.6,0,0,0,0,0,3100.00,SPXW230203P03100000,0.05,0,0,0.05,0,0,0,0,16551
Fri Feb 03 2023,SPXW230203C03150000,986.6,-26.8,972.6,996.6,7,0,0,0,0,3150.00,SPXW230203P03150000,0.05,0,0,0.05,0,0,0,0,23907
Fri Feb 03 2023,SPXW230203C03200000,925.57,-37.83,922.6,946.6,5,0,0,0,5,3200.00,SPXW230203P03200000,0.05,0,0,0.05,0,0,0,0,19208
Fri Feb 03 2023,SPXW230203C03250000,665,0,872.6,896.6,0,0,0,0,2,3250.00,SPXW230203P03250000,0.05,0,0,0.05,0,0,0,0,2581
Fri Feb 03 2023,SPXW230203C03275000,0,0,847.6,871.6,0,0,0,0,0,3275.00,SPXW230203P03275000,0.1,0,0,0.05,0,0,0,0,1269
Fri Feb 03 2023,SPXW230203C03300000,0,0,822.6,846.6,0,0,0,0,0,3300.00,SPXW230203P03300000,0.05,0,0,0.05,0,0,0,0,9596
Fri Feb 03 2023,SPXW230203C03325000,0,0,797.6,821.6,0,0,0,0,0,3325.00,SPXW230203P03325000,0.05,0,0,0.05,0,0,0,0,3385
Fri Feb 03 2023,SPXW230203C03350000,0,0,772.6,796.6,0,0,0,0,0,3350.00,SPXW230203P03350000,0.05,0,0,0.05,0,0,0,0,2535
Fri Feb 03 2023,SPXW230203C03360000,0,0,762.6,786.6,0,0,0,0,0,3360.00,SPXW230203P03360000,0.05,0,0,0.05,0,0,0,0,288
Fri Feb 03 2023,SPXW230203C03370000,686.3,0,752.6,776.6,0,0,0,0,7,3370.00,SPXW230203P03370000,0.05,0,0,0.05,0,0,0,0,544
Fri Feb 03 2023,SPXW230203C03375000,620.1,0,747.6,771.6,0,0,0,0,1,3375.00,SPXW230203P03375000,0.05,0,0,0.05,0,0,0,0,4166
Fri Feb 03 2023,SPXW230203C03380000,0,0,742.6,766.6,0,0,0,0,0,3380.00,SPXW230203P03380000,0.05,0,0,0.05,0,0,0,0,706
Fri Feb 03 2023,SPXW230203C03390000,0,0,732.6,756.6,0,0,0,0,0,3390.00,SPXW230203P03390000,0.05,0,0,0.05,0,0,0,0,432
Fri Feb 03 2023,SPXW230203C03400000,675.4,0,722.6,746.6,0,0,0,0,1,3400.00,SPXW230203P03400000,0.05,0,0,0.05,0,0,0,0,4757
Fri Feb 03 2023,SPXW230203C03410000,0,0,712.6,736.6,0,0,0,0,0,3410.00,SPXW230203P03410000,0.05,0,0,0.05,0,0,0,0,2100
Fri Feb 03 2023,SPXW230203C03420000,0,0,702.6,726.6,0,0,0,0,0,3420.00,SPXW230203P03420000,0.1,0,0,0.05,0,0,0,0,229
Fri Feb 03 2023,SPXW230203C03425000,0,0,697.6,721.6,0,0,0,0,0,3425.00,SPXW230203P03425000,0.05,0,0,0.05,0,0,0,0,3846
Fri Feb 03 2023,SPXW230203C03430000,724.87,0,692.6,716.6,0,0,0,0,3,3430.00,SPXW230203P03430000,0.1,0,0,0.05,0,0,0,0,106
Fri Feb 03 2023,SPXW230203C03440000,714.72,0,682.6,706.6,0,0,0,0,3,3440.00,SPXW230203P03440000,0.1,0,0,0.05,0,0,0,0,262
Fri Feb 03 2023,SPXW230203C03450000,596.69,0,672.6,696.6,0,0,0,0,2,3450.00,SPXW230203P03450000,0.05,0,0,0.05,0,0,0,0,4626
Fri Feb 03 2023,SPXW230203C03460000,0,0,662.6,686.6,0,0,0,0,0,3460.00,SPXW230203P03460000,0.05,0,0,0.05,0,0,0,0,138
Fri Feb 03 2023,SPXW230203C03470000,0,0,652.6,676.6,0,0,0,0,0,3470.00,SPXW230203P03470000,0.05,0,0,0.05,0,0,0,0,127
Fri Feb 03 2023,SPXW230203C03475000,0,0,647.6,671.6,0,0,0,0,0,3475.00,SPXW230203P03475000,0.05,0.025,0,0.05,10,0,0,0,2166
Fri Feb 03 2023,SPXW230203C03480000,566.44,0,642.6,666.6,0,0,0,0,10,3480.00,SPXW230203P03480000,0.2,0,0,0.05,0,0,0,0,285
Fri Feb 03 2023,SPXW230203C03490000,0,0,632.6,656.6,0,0,0,0,0,3490.00,SPXW230203P03490000,0.15,0,0,0.05,0,0,0,0,1512
Fri Feb 03 2023,SPXW230203C03500000,676.82,13.32,622.6,646.6,7,0,0,0,10,3500.00,SPXW230203P03500000,0.05,0.025,0,0.05,50,0,0,0,9304
Fri Feb 03 2023,SPXW230203C03510000,0,0,612.6,636.6,0,0,0,0,0,3510.00,SPXW230203P03510000,0.05,0,0,0.05,0,0,0,0,486
Fri Feb 03 2023,SPXW230203C03520000,0,0,602.6,626.6,0,0,0,0,0,3520.00,SPXW230203P03520000,0.15,0,0,0.05,0,0,0,0,2242
Fri Feb 03 2023,SPXW230203C03525000,0,0,597.6,621.6,0,0,0,0,0,3525.00,SPXW230203P03525000,0.05,0,0,0.05,0,0,0,0,6321
Fri Feb 03 2023,SPXW230203C03530000,0,0,592.6,616.6,0,0,0,0,0,3530.00,SPXW230203P03530000,0.1,0,0,0.05,0,0,0,0,83
Fri Feb 03 2023,SPXW230203C03540000,521.37,0,582.6,606.6,0,0,0,0,4,3540.00,SPXW230203P03540000,0.3,0,0,0.05,0,0,0,0,163
Fri Feb 03 2023,SPXW230203C03550000,586.39,-27.16,572.6,596.6,2,0,0,0,10,3550.00,SPXW230203P03550000,0.05,0.025,0,0.05,1,0,0,0,3474
Fri Feb 03 2023,SPXW230203C03560000,612.2,8.65,562.6,586.6,1,0,0,0,2,3560.00,SPXW230203P03560000,0.1,0,0,0.05,0,0,0,0,1039
Fri Feb 03 2023,SPXW230203C03570000,393.03,0,552.6,576.6,0,0,0,0,1,3570.00,SPXW230203P03570000,0.05,0.025,0,0.05,4,0,0,0,911
Fri Feb 03 2023,SPXW230203C03575000,602.34,13.79,547.6,571.6,7,0,0,0,0,3575.00,SPXW230203P03575000,0.05,0.025,0,0.05,1,0,0,0,2243
Fri Feb 03 2023,SPXW230203C03580000,0,0,542.6,566.6,0,0,0,0,0,3580.00,SPXW230203P03580000,0.05,0.025,0,0.05,4,0,0,0,2105
Fri Feb 03 2023,SPXW230203C03590000,466.06,0,532.6,556.6,0,0,0,0,1,3590.00,SPXW230203P03590000,0.05,0.025,0,0.05,1,0,0,0,163
Fri Feb 03 2023,SPXW230203C03600000,539.81,-23.79,522.6,546.6,1,0,0,0,252,3600.00,SPXW230203P03600000,0.05,0.025,0,0.05,5,0,0,0,15664
Fri Feb 03 2023,SPXW230203C03610000,576.44,0,512.6,536.6,0,0,0,0,10,3610.00,SPXW230203P03610000,0.05,0,0,0.05,5,0,0,0,1336
Fri Feb 03 2023,SPXW230203C03620000,522,-21.6,502.6,526.6,6,0,0,0,265,3620.00,SPXW230203P03620000,0.05,0,0,0.05,0,0,0,0,5050
Fri Feb 03 2023,SPXW230203C03625000,550.4,0,497.6,521.6,0,0,0,0,7,3625.00,SPXW230203P03625000,0.05,0,0,0.05,635,0,0,0,6216
Fri Feb 03 2023,SPXW230203C03630000,283.18,0,492.6,516.6,0,0,0,0,1,3630.00,SPXW230203P03630000,0.05,0,0,0.05,196,0,0,0,510
Fri Feb 03 2023,SPXW230203C03635000,287.56,0,487.6,511.6,0,0,0,0,9,3635.00,SPXW230203P03635000,0.05,0,0,0.05,0,0,0,0,167
Fri Feb 03 2023,SPXW230203C03640000,502,-21.6,482.6,506.6,111,0,0,0,141,3640.00,SPXW230203P03640000,0.05,0,0,0.05,0,0,0,0,1239
Fri Feb 03 2023,SPXW230203C03645000,494.79,-23.81,477.6,501.6,1,0,0,0,1,3645.00,SPXW230203P03645000,0.05,0,0,0.05,0,0,0,0,1846
Fri Feb 03 2023,SPXW230203C03650000,298.27,0,472.6,496.6,0,0,0,0,3,3650.00,SPXW230203P03650000,0.05,-0.025,0,0.05,116,0,0,0,9367
Fri Feb 03 2023,SPXW230203C03655000,0,0,467.6,491.6,0,0,0,0,0,3655.00,SPXW230203P03655000,0.05,0,0,0.05,0,0,0,0,235
Fri Feb 03 2023,SPXW230203C03660000,516.85,13.25,462.6,486.6,2,0,0,0,2,3660.00,SPXW230203P03660000,0.05,-0.025,0,0.05,9,0,0,0,1349
Fri Feb 03 2023,SPXW230203C03665000,498,0,457.6,481.6,0,0,0,0,7,3665.00,SPXW230203P03665000,0.05,0,0,0.05,0,0,0,0,116
Fri Feb 03 2023,SPXW230203C03670000,472.34,-21.26,452.6,476.6,1,0,0,0,3,3670.00,SPXW230203P03670000,0.05,0,0,0.05,0,0,0,0,607
Fri Feb 03 2023,SPXW230203C03675000,501.8,0,447.6,471.6,0,0,0,0,7,3675.00,SPXW230203P03675000,0.05,0,0,0.05,0,0,0,0,2284
Fri Feb 03 2023,SPXW230203C03680000,201.6,0,442.6,466.6,0,0,0,0,3,3680.00,SPXW230203P03680000,0.05,-0.025,0,0.05,2,0,0,0,859
Fri Feb 03 2023,SPXW230203C03685000,382.98,0,437.6,461.6,0,0,0,0,1,3685.00,SPXW230203P03685000,0.05,0,0,0.05,0,0,0,0,3561
Fri Feb 03 2023,SPXW230203C03690000,463.68,-9.97,432.6,456.6,47,0,0,0,47,3690.00,SPXW230203P03690000,0.05,0,0,0.05,0,0,0,0,451
Fri Feb 03 2023,SPXW230203C03695000,436.64,-32.01,427.6,451.6,5,0,0,0,7,3695.00,SPXW230203P03695000,0.05,-0.025,0,0.05,1,0,0,0,694
Fri Feb 03 2023,SPXW230203C03700000,436.9,-26.75,422.6,446.6,7,0,0,0,84,3700.00,SPXW230203P03700000,0.05,-0.025,0,0.05,20,0,0,0,8066
Fri Feb 03 2023,SPXW230203C03705000,224.96,0,417.6,441.6,0,0,0,0,43,3705.00,SPXW230203P03705000,0.05,0,0,0.05,0,0,0,0,318
Fri Feb 03 2023,SPXW230203C03710000,443.31,-10.34,412.6,436.6,37,0,0,0,37,3710.00,SPXW230203P03710000,0.1,0,0,0.05,0,0,0,0,1343
Fri Feb 03 2023,SPXW230203C03715000,459.5,0,407.6,431.6,0,0,0,0,7,3715.00,SPXW230203P03715000,0.05,0,0,0.05,0,0,0,0,413
Fri Feb 03 2023,SPXW230203C03720000,422.8,0,402.6,426.6,0,0,0,0,65,3720.00,SPXW230203P03720000,0.1,0,0,0.05,0,0,0,0,3352
Fri Feb 03 2023,SPXW230203C03725000,412.92,-25.73,397.6,421.6,8,0,0,0,33,3725.00,SPXW230203P03725000,0.1,0,0,0.05,0,0,0,0,6638
Fri Feb 03 2023,SPXW230203C03730000,237.25,0,392.6,416.6,0,0,0,0,17,3730.00,SPXW230203P03730000,0.1,0,0,0.05,0,0,0,0,1553
Fri Feb 03 2023,SPXW230203C03735000,206.52,0,387.6,411.6,0,0,0,0,5,3735.00,SPXW230203P03735000,0.05,-0.05,0,0.05,2,0,0,0,204
Fri Feb 03 2023,SPXW230203C03740000,213.44,0,382.6,406.6,0,0,0,0,30,3740.00,SPXW230203P03740000,0.05,-0.075,0,0.05,14,0,0,0,950
Fri Feb 03 2023,SPXW230203C03745000,427.4,0,377.6,401.6,0,0,0,0,38,3745.00,SPXW230203P03745000,0.1,0,0,0.05,0,0,0,0,1864
Fri Feb 03 2023,SPXW230203C03750000,381.52,-32.18,372.6,396.6,12,0,0,0,70,3750.00,SPXW230203P03750000,0.05,-0.075,0,0.05,7,0,0,0,4234
Fri Feb 03 2023,SPXW230203C03755000,394.09,-14.61,367.6,391.6,5,0,0,0,6,3755.00,SPXW230203P03755000,0.05,-0.075,0,0.05,2,0,0,0,316
Fri Feb 03 2023,SPXW230203C03760000,415.1,11.4,362.6,386.6,50,0,0,0,60,3760.00,SPXW230203P03760000,0.1,0,0,0.05,0,0,0,0,270
Fri Feb 03 2023,SPXW230203C03765000,408.7,0,357.6,381.6,0,0,0,0,14,3765.00,SPXW230203P03765000,0.1,0,0,0.05,0,0,0,0,448
Fri Feb 03 2023,SPXW230203C03770000,361.47,-32.23,352.6,376.6,1,0,0,0,35,3770.00,SPXW230203P03770000,0.1,0,0,0.05,0,0,0,0,1108
Fri Feb 03 2023,SPXW230203C03775000,174.47,0,347.6,371.6,0,0,0,0,70,3775.00,SPXW230203P03775000,0.05,-0.1,0,0.05,29,0,0,0,1946
